"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",3,3,TRUE,3,2,9,2,4,6,8,TRUE
"2",3,3,TRUE,7,6,4,6,9,10,8,FALSE
"3",3,3,FALSE,9,10,7,10,1,4,3,FALSE
"4",3,3,TRUE,4,3,9,3,8,2,5,TRUE
"5",3,3,FALSE,2,3,10,4,7,1,3,FALSE
"6",3,3,TRUE,2,1,8,10,1,3,6,TRUE
"7",3,3,FALSE,3,4,7,9,1,6,4,FALSE
"8",3,3,TRUE,3,2,6,10,7,4,2,FALSE
"9",3,3,FALSE,6,7,1,5,7,10,8,TRUE
"10",3,3,FALSE,7,8,5,1,6,4,8,TRUE
"11",3,3,TRUE,6,5,5,4,9,7,1,TRUE
"12",3,3,TRUE,7,6,8,9,6,10,4,TRUE
"13",3,3,TRUE,8,7,3,7,9,6,10,TRUE
"14",3,3,TRUE,8,7,9,7,5,2,4,FALSE
"15",3,3,TRUE,2,1,10,1,8,6,3,FALSE
"16",3,3,FALSE,3,4,8,2,10,9,4,TRUE
"17",3,3,TRUE,9,8,10,4,2,8,3,FALSE
"18",3,3,TRUE,2,1,3,10,6,4,1,TRUE
"19",3,3,TRUE,5,4,4,7,6,1,9,TRUE
"20",3,3,FALSE,2,3,10,5,9,3,8,FALSE
"21",3,3,TRUE,4,3,5,6,7,3,2,FALSE
"22",3,3,FALSE,7,8,3,2,6,8,10,TRUE
"23",3,3,TRUE,5,4,4,1,2,9,7,FALSE
"24",3,3,TRUE,8,7,3,6,1,2,7,FALSE
"25",3,3,TRUE,5,4,2,10,1,4,9,FALSE
"26",3,3,TRUE,8,7,5,7,3,4,1,FALSE
"27",3,3,TRUE,9,8,8,1,10,6,5,TRUE
"28",3,3,TRUE,9,8,8,2,6,4,10,TRUE
"29",3,3,TRUE,4,3,8,1,10,3,7,FALSE
"30",3,3,TRUE,9,8,10,7,3,8,1,TRUE
"31",3,3,FALSE,6,7,8,5,7,9,1,TRUE
"32",3,3,FALSE,8,9,10,9,2,1,7,TRUE
"33",3,3,TRUE,4,3,1,3,5,10,8,TRUE
"34",3,3,TRUE,5,4,4,6,2,3,7,TRUE
"35",3,3,FALSE,6,7,4,8,7,1,10,FALSE
"36",3,3,FALSE,4,5,8,5,10,3,6,TRUE
"37",3,3,TRUE,5,4,7,1,9,4,8,FALSE
"38",3,3,TRUE,6,5,1,5,8,10,4,FALSE
"39",3,3,FALSE,7,8,6,5,2,8,9,TRUE
"40",3,3,TRUE,3,2,2,5,9,1,7,FALSE
