"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",6,4,TRUE,17,16,18,4,19,13,16,TRUE
"2",6,4,TRUE,8,7,3,15,12,7,18,FALSE
"3",6,4,TRUE,2,1,1,3,7,19,6,TRUE
"4",6,4,TRUE,2,1,1,17,3,14,4,TRUE
"5",6,4,FALSE,13,14,17,14,15,12,4,TRUE
"6",6,4,FALSE,10,11,1,19,20,16,11,FALSE
"7",6,4,TRUE,18,17,19,6,20,7,17,TRUE
"8",6,4,TRUE,17,16,20,4,13,16,18,TRUE
"9",6,4,TRUE,13,12,2,15,18,14,12,TRUE
"10",6,4,FALSE,9,10,10,2,14,8,11,FALSE
"11",6,4,FALSE,11,12,3,12,6,1,18,FALSE
"12",6,4,FALSE,2,3,20,17,19,3,11,FALSE
"13",6,4,TRUE,15,14,13,3,2,20,14,FALSE
"14",6,4,TRUE,5,4,16,8,2,4,15,FALSE
"15",6,4,FALSE,8,9,6,7,9,5,17,TRUE
"16",6,4,TRUE,18,17,17,1,20,12,7,FALSE
"17",6,4,FALSE,3,4,14,1,9,4,2,TRUE
"18",6,4,TRUE,8,7,19,12,7,16,5,FALSE
"19",6,4,FALSE,16,17,15,17,3,10,13,TRUE
"20",6,4,FALSE,19,20,5,3,20,8,9,FALSE
"21",6,4,TRUE,7,6,13,11,1,3,6,FALSE
"22",6,4,FALSE,11,12,19,14,5,12,9,FALSE
"23",6,4,TRUE,12,11,16,11,9,13,14,TRUE
"24",6,4,FALSE,4,5,20,11,12,3,5,TRUE
"25",6,4,TRUE,3,2,18,2,4,14,19,TRUE
"26",6,4,FALSE,19,20,16,12,15,2,20,FALSE
"27",6,4,TRUE,6,5,2,17,9,5,4,FALSE
"28",6,4,TRUE,19,18,1,2,20,18,17,FALSE
"29",6,4,TRUE,15,14,5,16,10,9,14,TRUE
"30",6,4,TRUE,14,13,15,17,11,13,20,TRUE
"31",6,4,FALSE,12,13,13,18,3,11,6,FALSE
"32",6,4,FALSE,9,10,10,16,8,6,15,TRUE
"33",6,4,FALSE,12,13,13,2,1,4,9,FALSE
"34",6,4,FALSE,5,6,12,11,10,6,16,FALSE
"35",6,4,FALSE,10,11,7,9,15,11,2,TRUE
"36",6,4,TRUE,4,3,3,16,5,20,2,TRUE
"37",6,4,TRUE,6,5,5,15,14,17,7,TRUE
"38",6,4,FALSE,7,8,16,18,8,19,6,TRUE
"39",6,4,FALSE,14,15,8,18,15,9,2,FALSE
"40",6,4,FALSE,16,17,9,13,15,2,17,FALSE
