"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",6,1,FALSE,7,8,1,3,19,8,13,FALSE
"2",6,1,TRUE,9,8,8,1,3,6,18,FALSE
"3",6,1,FALSE,16,17,17,4,15,20,7,TRUE
"4",6,1,TRUE,12,11,7,9,14,18,11,FALSE
"5",6,1,TRUE,12,11,13,18,2,11,15,FALSE
"6",6,1,TRUE,4,3,3,12,17,18,5,TRUE
"7",6,1,FALSE,6,7,4,14,7,17,13,FALSE
"8",6,1,TRUE,13,12,3,4,5,2,12,FALSE
"9",6,1,TRUE,5,4,1,8,11,4,14,FALSE
"10",6,1,TRUE,15,14,14,16,17,19,1,TRUE
"11",6,1,FALSE,10,11,3,2,19,11,9,TRUE
"12",6,1,TRUE,17,16,9,14,15,16,18,TRUE
"13",6,1,FALSE,18,19,19,5,17,3,8,TRUE
"14",6,1,FALSE,7,8,8,18,13,2,15,FALSE
"15",6,1,TRUE,14,13,17,1,12,15,13,FALSE
"16",6,1,TRUE,5,4,4,2,20,19,14,FALSE
"17",6,1,TRUE,10,9,9,19,4,18,5,FALSE
"18",6,1,TRUE,2,1,9,20,12,1,7,FALSE
"19",6,1,TRUE,3,2,18,19,4,2,8,TRUE
"20",6,1,TRUE,14,13,20,9,13,1,6,FALSE
"21",6,1,FALSE,8,9,9,14,2,11,7,TRUE
"22",6,1,FALSE,19,20,12,18,13,8,20,TRUE
"23",6,1,FALSE,4,5,3,2,5,20,6,TRUE
"24",6,1,TRUE,19,18,10,13,20,2,18,FALSE
"25",6,1,TRUE,6,5,8,9,7,5,20,TRUE
"26",6,1,TRUE,9,8,8,1,10,17,16,TRUE
"27",6,1,FALSE,16,17,6,17,14,1,9,FALSE
"28",6,1,FALSE,15,16,10,11,14,2,16,TRUE
"29",6,1,TRUE,18,17,19,8,13,11,17,TRUE
"30",6,1,FALSE,3,4,5,14,1,4,2,TRUE
"31",6,1,FALSE,12,13,16,19,13,11,15,TRUE
"32",6,1,FALSE,2,3,15,1,4,3,9,TRUE
"33",6,1,TRUE,13,12,15,18,12,5,11,FALSE
"34",6,1,FALSE,16,17,15,3,7,1,17,FALSE
"35",6,1,FALSE,7,8,10,2,17,20,8,FALSE
"36",6,1,FALSE,11,12,10,7,16,12,2,TRUE
"37",6,1,TRUE,8,7,3,9,13,19,7,TRUE
"38",6,1,FALSE,17,18,10,16,19,18,15,TRUE
"39",6,1,FALSE,3,4,7,12,17,14,4,FALSE
"40",6,1,FALSE,11,12,17,13,2,12,1,FALSE
