"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",5,1,TRUE,7,6,13,19,6,10,0,FALSE
"2",5,1,TRUE,18,17,12,9,7,17,0,FALSE
"3",5,1,FALSE,7,8,15,4,8,9,0,FALSE
"4",5,1,TRUE,9,8,8,12,10,6,0,TRUE
"5",5,1,FALSE,18,19,19,8,10,17,0,TRUE
"6",5,1,TRUE,3,2,12,19,13,2,0,FALSE
"7",5,1,TRUE,12,11,2,13,11,5,0,TRUE
"8",5,1,TRUE,8,7,20,4,7,11,0,FALSE
"9",5,1,TRUE,5,4,14,4,6,7,0,TRUE
"10",5,1,TRUE,4,3,3,2,13,16,0,FALSE
"11",5,1,TRUE,18,17,16,15,17,20,0,FALSE
"12",5,1,TRUE,2,1,1,4,17,10,0,FALSE
"13",5,1,TRUE,15,14,10,8,13,14,0,FALSE
"14",5,1,FALSE,2,3,15,1,3,14,0,TRUE
"15",5,1,TRUE,4,3,8,5,20,3,0,TRUE
"16",5,1,FALSE,8,9,9,12,4,11,0,FALSE
"17",5,1,FALSE,6,7,2,5,7,18,0,TRUE
"18",5,1,FALSE,16,17,7,17,15,19,0,TRUE
"19",5,1,FALSE,11,12,20,12,1,15,0,FALSE
"20",5,1,FALSE,19,20,8,1,18,20,0,TRUE
"21",5,1,TRUE,17,16,19,18,14,16,0,TRUE
"22",5,1,TRUE,17,16,7,16,15,9,0,FALSE
"23",5,1,FALSE,11,12,16,18,12,10,0,TRUE
"24",5,1,TRUE,19,18,10,20,4,18,0,TRUE
"25",5,1,FALSE,3,4,2,10,4,9,0,FALSE
"26",5,1,FALSE,13,14,4,17,14,16,0,FALSE
"27",5,1,FALSE,16,17,14,17,15,19,0,TRUE
"28",5,1,FALSE,5,6,1,4,18,6,0,TRUE
"29",5,1,FALSE,9,10,15,2,10,8,0,TRUE
"30",5,1,FALSE,12,13,17,11,9,13,0,TRUE
"31",5,1,TRUE,8,7,7,5,12,3,0,FALSE
"32",5,1,FALSE,10,11,11,1,9,8,0,TRUE
"33",5,1,FALSE,15,16,13,14,16,18,0,TRUE
"34",5,1,FALSE,6,7,16,5,11,7,0,TRUE
"35",5,1,TRUE,13,12,6,9,12,15,0,FALSE
"36",5,1,TRUE,14,13,9,13,5,6,0,FALSE
"37",5,1,FALSE,10,11,11,20,17,14,0,FALSE
"38",5,1,TRUE,16,15,13,3,4,15,0,FALSE
"39",5,1,FALSE,14,15,13,12,15,9,0,TRUE
"40",5,1,TRUE,6,5,13,16,3,5,0,FALSE
