"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",1,1,TRUE,4,3,3,1,6,0,0,FALSE
"2",1,1,TRUE,9,8,3,6,8,0,0,FALSE
"3",1,1,FALSE,3,4,4,7,2,0,0,TRUE
"4",1,1,TRUE,7,6,10,6,8,0,0,TRUE
"5",1,1,TRUE,8,7,9,7,4,0,0,TRUE
"6",1,1,TRUE,3,2,9,2,4,0,0,TRUE
"7",1,1,FALSE,3,4,10,4,1,0,0,FALSE
"8",1,1,TRUE,4,3,3,2,6,0,0,FALSE
"9",1,1,FALSE,6,7,7,3,5,0,0,TRUE
"10",1,1,FALSE,4,5,5,8,10,0,0,FALSE
"11",1,1,TRUE,2,1,6,1,3,0,0,TRUE
"12",1,1,FALSE,5,6,6,4,2,0,0,TRUE
"13",1,1,FALSE,6,7,4,7,1,0,0,FALSE
"14",1,1,TRUE,2,1,1,4,8,0,0,FALSE
"15",1,1,FALSE,5,6,9,4,6,0,0,TRUE
"16",1,1,TRUE,7,6,8,6,10,0,0,TRUE
"17",1,1,TRUE,7,6,3,2,6,0,0,FALSE
"18",1,1,FALSE,9,10,1,10,3,0,0,FALSE
"19",1,1,FALSE,8,9,4,10,9,0,0,FALSE
"20",1,1,FALSE,2,3,1,10,3,0,0,TRUE
