"","problemLevel","problemCylce","isBelow","targetNum","correctNum","num1","num2","num3","num4","num5","foil"
"1",6,5,FALSE,10,11,8,11,16,9,14,TRUE
"2",6,5,FALSE,15,16,16,2,7,14,12,TRUE
"3",6,5,TRUE,13,12,19,14,7,12,18,TRUE
"4",6,5,FALSE,18,19,15,19,7,12,8,FALSE
"5",6,5,TRUE,18,17,5,13,19,16,17,TRUE
"6",6,5,TRUE,6,5,5,7,15,2,10,TRUE
"7",6,5,TRUE,2,1,13,9,1,12,7,FALSE
"8",6,5,FALSE,11,12,5,12,20,17,9,FALSE
"9",6,5,TRUE,16,15,12,17,1,15,8,FALSE
"10",6,5,TRUE,3,2,9,14,2,4,7,TRUE
"11",6,5,FALSE,12,13,5,18,9,13,17,FALSE
"12",6,5,FALSE,8,9,1,20,9,17,3,FALSE
"13",6,5,TRUE,18,17,3,17,13,9,11,FALSE
"14",6,5,TRUE,13,12,16,5,12,7,2,FALSE
"15",6,5,FALSE,15,16,16,12,3,18,9,FALSE
"16",6,5,TRUE,13,12,8,7,4,14,12,TRUE
"17",6,5,TRUE,8,7,7,9,1,6,11,TRUE
"18",6,5,FALSE,17,18,8,2,20,18,16,TRUE
"19",6,5,TRUE,7,6,14,19,6,8,15,TRUE
"20",6,5,FALSE,19,20,18,4,6,20,16,FALSE
"21",6,5,TRUE,11,10,6,4,8,10,18,FALSE
"22",6,5,FALSE,4,5,5,18,1,8,9,FALSE
"23",6,5,TRUE,14,13,19,8,3,15,13,TRUE
"24",6,5,TRUE,5,4,20,6,8,4,14,FALSE
"25",6,5,FALSE,3,4,2,5,4,7,14,TRUE
"26",6,5,TRUE,4,3,6,18,14,3,5,TRUE
"27",6,5,FALSE,9,10,6,2,1,10,8,TRUE
"28",6,5,FALSE,9,10,10,4,8,12,17,TRUE
"29",6,5,FALSE,17,18,14,19,18,4,20,FALSE
"30",6,5,FALSE,10,11,11,3,4,8,9,FALSE
"31",6,5,TRUE,12,11,16,19,11,3,9,FALSE
"32",6,5,FALSE,16,17,15,5,18,3,17,TRUE
"33",6,5,FALSE,2,3,20,5,15,3,1,TRUE
"34",6,5,TRUE,5,4,8,4,12,15,11,FALSE
"35",6,5,FALSE,7,8,1,6,8,3,12,FALSE
"36",6,5,FALSE,5,6,6,13,3,1,10,FALSE
"37",6,5,FALSE,19,20,12,10,18,20,16,TRUE
"38",6,5,TRUE,4,3,18,10,6,3,5,TRUE
"39",6,5,TRUE,6,5,2,8,5,1,12,FALSE
"40",6,5,TRUE,14,13,13,9,2,5,15,TRUE
